id,name,stationtype,neighborid,stationhex,linetype,regionalismcode,countryname,regionname,type,status,realtype,direction,isimportant,tolllink_id,cityid,routeid,routename,company_id,longitude,latitude,exit_etc_lane_num,exit_mtc_lane_num,exit_mix_lane_num,exit_lane_num,entry_etc_lane_num,entry_mtc_lane_num,entry_mix_lane_num,entry_lane_num,k_value,nearcityid,opentime,nearprovinceid,old_id,old_tolllink_id
G0070610020060,蓝关,3,0,61014721,2|1,610122,蓝田县,西安市,2,2,1,,1,G0070610020,610100,G0070,福银高速(陕西段),21,109.332927,34.124317,1,1,1,3,1,1,1,3,0.09,0,1222790400000,0,710101,2501
G0070610030010,白鹿塬,3,0,61014622,3,610122,蓝田县,西安市,2,2,1,,1,G0070610030,610100,G0070,福银高速(陕西段),20,109.292645,34.174362,2,1,3,6,1,3,1,5,0.09,0,1199116800000,0,700102,4601
G0070610030020,空工,3,0,61014621,3,610111,灞桥区,西安市,2,2,1,,1,G0070610030,610100,G0070,福银高速(陕西段),20,109.142965,34.238641,1,1,1,3,1,1,1,3,0.09,0,915120000000,0,700101,4601
G0070610040010,六村堡,3,0,61014A21,2|1,610112,未央区,西安市,2,2,1,,1,G0070610040,610100,G0070,福银高速(陕西段),24,108.845381,34.336245,6,14,7,27,7,5,6,18,0.09,610100,1062345600000,0,740101,0601
G0070610040020,咸阳东,3,0,61014A22,2|1,610404,渭城区,咸阳市,2,2,1,,1,G0070610040,610400,G0070,福银高速(陕西段),24,108.801931,34.373274,5,5,3,13,2,2,4,8,0.09,610400,1062345600000,0,740102,0601
G0070610040030,机场西,3,0,61014A23,2|1,610404,渭城区,咸阳市,2,2,1,,1,G0070610040,610400,G0070,福银高速(陕西段),24,108.736266,34.419324,5,5,8,18,3,4,4,11,0.09,0,1062345600000,0,740103,0601
G0070610050010,西张堡,3,0,61014B22,2|1,610425,礼泉县,咸阳市,2,2,1,,1,G0070610050,610400,G0070,福银高速(陕西段),24,108.530468,34.492156,7,1,3,11,5,0,2,7,0.09,0,1196438400000,0,750102,0601
G0070610050020,礼泉,3,0,61014B23,2|1,610425,礼泉县,咸阳市,2,2,1,,1,G0070610050,610400,G0070,福银高速(陕西段),24,108.42871,34.510227,5,3,3,11,5,1,2,8,0.09,0,1196438400000,0,750103,0601
G0070610050030,乾州,3,0,61014B24,2|1,610424,乾县,咸阳市,2,2,1,,1,G0070610050,610400,G0070,福银高速(陕西段),24,108.302997,34.5424,1,5,3,9,2,1,1,4,0.09,0,1196438400000,0,750104,0601
G0070610050040,乾陵,3,0,61014B25,2|1,610424,乾县,咸阳市,2,2,1,,1,G0070610050,610400,G0070,福银高速(陕西段),24,108.256919,34.589131,1,1,2,4,2,1,1,4,0.09,0,1196438400000,0,750105,0601
G0070610060010,永寿,3,0,61014C21,2|1,610426,永寿县,咸阳市,2,2,1,,1,G0070610060,610400,G0070,福银高速(陕西段),24,108.166814,34.680505,1,4,2,7,2,1,1,4,0.09,0,1220198400000,0,760101,0601
