id,name,stationtype,neighborid,stationhex,linetype,regionalismcode,countryname,regionname,type,status,realtype,direction,isimportant,tolllink_id,cityid,routeid,routename,company_id,longitude,latitude,exit_etc_lane_num,exit_mtc_lane_num,exit_mix_lane_num,exit_lane_num,entry_etc_lane_num,entry_mtc_lane_num,entry_mix_lane_num,entry_lane_num,k_value,nearcityid,opentime,nearprovinceid,old_id,old_tolllink_id
S0030610020040,中村,3,0,61014E24,1|2,611024,山阳县,商洛市,2,2,1,,1,S0030610020,611000,S0030,丹(凤)宁(陕)高速,58,110.156095,33.467137,1,0,2,3,1,0,2,3,0.09,0,1703174400000,0,780104,8101
S0032610010010,榆林东,3,0,61010F21,1|2,610802,榆阳区,榆林市,2,2,1,,1,S0032610010,610800,S0032,榆佳高速,32,109.810907,38.30143,2,6,3,11,2,2,2,6,0.09,0,1380556800000,0,150101,4301
S0032610010020,麻黄梁,3,0,61010F22,1|2,610802,榆阳区,榆林市,2,2,1,,1,S0032610010,610800,S0032,榆佳高速,32,109.938667,38.362664,2,0,2,4,1,0,2,3,0.09,0,1380556800000,0,150102,4301
S0032610010030,王家砭,3,0,61010F23,1|2,610802,榆阳区,榆林市,2,2,1,,1,S0032610010,610800,S0032,榆佳高速,32,110.240243,38.252489,1,0,2,3,1,0,2,3,0.09,0,1380556800000,0,150103,4301
S0032610010040,通镇,3,0,61010F24,1|2,610802,榆阳区,榆林市,2,2,1,,1,S0032610010,610800,S0032,榆佳高速,32,110.353897,38.165784,1,0,2,3,1,0,2,3,0.09,0,1398873600000,0,150104,4301
S0032610010050,佳县,3,0,61010F25,1|2,610828,佳县,榆林市,2,2,1,,1,S0032610010,610800,S0032,榆佳高速,32,110.472938,38.048041,2,1,2,5,1,0,2,3,0.09,0,1380556800000,0,150105,4301
S0032610010060,陕西佳县,2,S0050140310050,61010F26,1|2,610828,佳县,榆林市,1,2,1,,1,S0032610010,610800,S0032,榆佳高速,32,110.470051,38.042281,1,10,0,11,1,4,0,5,0.09,0,1398873600000,14,150106,4301
S0032610010070,黑疙瘩,3,0,61010F27,2,610703,南郑区,汉中市,2,2,1,,1,S0032610010,610700,S0032,榆佳高速,32,,,0,0,0,0,0,0,0,0,0.09,0,1382976000000,0,150107,4301
S1015610010010,永坪,3,0,61011362,2|1,610622,延川县,延安市,2,2,1,,1,S1015610010,610600,S1015,子姚高速,36,109.796018,37.029203,2,0,2,4,2,0,2,4,0.09,0,1600704000000,0,190302,5101
S1015610010020,蟠龙,3,0,61011361,2|1,610602,宝塔区,延安市,2,2,1,,1,S1015610010,610600,S1015,子姚高速,36,109.683414,36.860126,1,0,2,3,1,0,2,3,0.09,0,1600704000000,0,190301,5101
560105,靖边立交,9,0,0,0,610824,靖边县,榆林市,9,2,1,,1,G0020610030,610800,G0020,青银高速(陕西段),15,108.850029,37.640975,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900001,田王互通,9,0,0,0,610111,灞桥区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,109.101432,34.300733,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900002,香王立交,9,0,0,0,610111,灞桥区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,109.090693,34.28144,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900003,曳湖互通,9,0,0,0,610122,蓝田县,西安市,9,2,1,,1,G0040610020,610100,G0040,沪陕高速(陕西段),30,109.286164,34.207418,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900004,席家河立交,9,0,0,0,610122,蓝田县,西安市,9,2,1,,1,G0070610030,610100,G0070,福银高速(陕西段),20,109.292326,34.179589,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900005,洛南互通,9,0,0,0,611002,商州区,商洛市,9,2,1,,1,G0040610020,611000,G0040,沪陕高速(陕西段),30,109.977908,34.009604,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900006,商漫互通,9,0,0,0,611002,商州区,商洛市,9,2,1,,1,G0070610020,611000,G0070,福银高速(陕西段),21,109.755096,33.850075,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900007,商州互通,9,0,0,0,611002,商州区,商洛市,9,2,1,,1,G0040610020,611000,G0040,沪陕高速(陕西段),30,110.002741,33.823522,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900010,阿房宫立交,9,0,0,0,610116,长安区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,108.802048,34.258262,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900011,西吴立交,9,0,0,0,610481,兴平市,咸阳市,9,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.557457,34.288094,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
