id,name,stationtype,neighborid,stationhex,linetype,regionalismcode,countryname,regionname,type,status,realtype,direction,isimportant,tolllink_id,cityid,routeid,routename,company_id,longitude,latitude,exit_etc_lane_num,exit_mtc_lane_num,exit_mix_lane_num,exit_lane_num,entry_etc_lane_num,entry_mtc_lane_num,entry_mix_lane_num,entry_lane_num,k_value,nearcityid,opentime,nearprovinceid,old_id,old_tolllink_id
G0005610010010,禹门口,2,G0005140650050,61012865,2|1,610581,韩城市,渭南市,1,3,1,,0,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,109.863213,34.973478,2,12,0,14,2,8,0,10,0.09,0,1164902400000,14,400305,0201
G0005610010020,龙门,3,0,61012864,2,610581,韩城市,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,110.520022,35.570507,1,2,1,4,1,1,1,3,0.09,0,1130774400000,0,400304,0201
G0005610010030,韩城,3,0,61012863,2,610581,韩城市,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,110.472338,35.47685,2,5,2,9,2,3,2,7,0.09,0,1130774400000,0,400303,0201
G0005610010040,芝川,3,0,61012862,2,610581,韩城市,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,110.386501,35.344343,1,2,1,4,1,1,1,3,0.09,0,1130774400000,0,400302,0201
G0005610010050,合阳,3,0,61012861,2,610524,合阳县,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,110.160055,35.21177,1,1,2,4,1,1,1,3,0.09,0,1130774400000,0,400301,0201
G0005610010060,澄城,3,0,61012843,2,610525,澄城县,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,109.935853,35.001062,1,1,2,4,1,2,1,4,0.09,0,1130774400000,0,400203,0201
G0005610010070,孙镇,3,0,61012842,2,610526,蒲城县,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,109.762651,34.937895,1,1,1,3,1,1,1,3,0.09,0,1130774400000,0,400202,0201
G0005610010080,蒲城,3,0,61012841,2|3,610526,蒲城县,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,109.605474,34.907589,1,2,2,5,1,1,1,3,0.09,0,1109606400000,0,400201,0201
G0005610010090,荆姚,3,0,61012822,2|3,610526,蒲城县,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,109.447493,34.85689,1,1,1,3,1,1,1,3,0.09,0,1109606400000,0,400102,0201
G0005610010100,富平,3,0,61012821,2|3,610528,富平县,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,109.225851,34.728386,2,3,2,7,2,1,2,5,0.09,0,1109606400000,0,400101,0201
G0005610010110,龙门工业园,3,0,61012866,2,610581,韩城市,渭南市,2,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西)阎禹段,8,110.557916,35.593331,2,3,2,7,1,0,2,3,0.09,0,1577808000000,0,400306,0201
G0005610020010,阎良,3,0,61012922,2,610114,阎良区,西安市,2,2,1,,1,G0005610020,610100,G0005,京昆高速(陕西)西阎段,8,109.188371,34.655107,3,3,2,8,2,2,1,5,0.09,0,999273600000,0,410102,0201
G0005610020020,高陵,3,0,61012921,2|1,610117,高陵区,西安市,2,2,1,,1,G0005610020,610100,G0005,京昆高速(陕西)西阎段,8,109.112798,34.524592,2,3,2,7,2,2,1,5,0.09,0,999273600000,0,410101,0201
G0005610020030,港务区,3,0,61012923,2,610115,临潼区,西安市,2,2,1,,1,G0005610020,610100,G0005,京昆高速(陕西)西阎段,8,109.118971,34.390475,2,3,2,7,1,1,2,4,0.09,0,1522598400000,0,410103,0201
G0005610030010,三星A,3,0,61012A23,2,610116,长安区,西安市,2,2,1,,1,G0005610030,610100,G0005,京昆高速(陕西)西户段,10,108.753168,34.149882,2,3,4,9,2,2,3,7,0.09,0,1383235200000,0,420103,0501
G0005610030020,鄠邑,3,0,61012A21,2,610118,鄠邑区,西安市,2,2,1,,1,G0005610030,610100,G0005,京昆高速(陕西)西户段,10,108.673208,34.105657,3,3,2,8,3,3,1,7,0.09,0,1072886400000,0,420101,0501
G0005610030030,涝峪,3,0,61012A22,2,610118,鄠邑区,西安市,2,2,1,,1,G0005610030,610100,G0005,京昆高速(陕西)西户段,10,108.547472,34.038575,2,2,2,6,1,1,1,3,0.09,0,1072886400000,0,420102,0501
