"version","enroadnodeid","enroadnodetype","enroadnodename","enstationid","enhex","exroadnodeid","exroadnodetype","exroadnodename","exstationid","exhex","miles"
"6120231210001","G000561002000720","1","高陵-高陵站",,,"G0005610020020","3","陕西高陵收费站",,"61012921","0"
"6120231210001","G000561002000810","1","港务区站-港务区",,,"G000561002000510","1","港务区匝道-谢王互通",,,"0"
"6120231210001","G000561002000810","1","港务区站-港务区",,,"G000561002000420","1","港务区匝道-西安港匝道",,,"0"
"6120231210001","G000561002000820","1","港务区-港务区站",,,"G0005610020030","3","陕西港务区收费站",,"61012923","0"
"6120231210001","G0005610020010","3","陕西阎良收费站",,"61012922","G000561002000610","1","阎良站-阎良",,,"0"
"6120231210001","G0005610020020","3","陕西高陵收费站",,"61012921","G000561002000710","1","高陵站-高陵",,,"0"
"6120231210001","G0005610020030","3","陕西港务区收费站",,"61012923","G000561002000810","1","港务区站-港务区",,,"0"
"6120231210001","G000561003000110","1","西户立交-三星立交",,,"G000561003000310","1","三星立交-鄠邑东枢纽",,,"6900"
"6120231210001","G000561003000110","1","西户立交-三星立交",,,"G000561003000920","1","三星B-三星B收费站",,,"6900"
"6120231210001","G000561003000110","1","西户立交-三星立交",,,"G000561003000220","1","三星立交-三星A收费站",,,"6900"
"6120231210001","G000561003000120","1","三星立交-西户立交",,,"G300161001001420","1","西户互通-河池寨立交",,,"6900"
"6120231210001","G000561003000210","1","三星A收费站-三星立交",,,"G000561003000310","1","三星立交-鄠邑东枢纽",,,"5596"
"6120231210001","G000561003000210","1","三星A收费站-三星立交",,,"G000561003000120","1","三星立交-西户立交",,,"5596"
"6120231210001","G000561003000220","1","三星立交-三星A收费站",,,"G0005610030010","3","陕西三星A收费站",,"61012A23","5596"
"6120231210001","G000561003000310","1","三星立交-鄠邑东枢纽",,,"G000561003000410","1","鄠邑东枢纽-鄠邑匝道",,,"6500"
"6120231210001","G000561003000310","1","三星立交-鄠邑东枢纽",,,"G030N61001001620","1","鄠邑东枢纽-大王匝道",,,"6500"
"6120231210001","G000561003000320","1","鄠邑东枢纽-三星立交",,,"G000561003000120","1","三星立交-西户立交",,,"6500"
"6120231210001","G000561003000320","1","鄠邑东枢纽-三星立交",,,"G000561003000220","1","三星立交-三星A收费站",,,"6500"
"6120231210001","G000561003000320","1","鄠邑东枢纽-三星立交",,,"G000561003000920","1","三星B-三星B收费站",,,"6500"
"6120231210001","G000561006000110","1","勉县匝道-胡家坝匝道",,,"G000561006000210","1","胡家坝匝道-韩家坝匝道",,,"24949"
"6120231210001","G000561006000110","1","勉县匝道-胡家坝匝道",,,"G000561006000420","1","胡家坝-胡家坝站",,,"24949"
"6120231210001","G000561006000120","1","胡家坝匝道-勉县匝道",,,"G000561005001620","1","勉县-勉县站",,,"24949"
"6120231210001","G000561001000110","2","禹门口省界-工业园匝道",,,"G000561001001320","1","龙门工业园-龙门工业园站",,,"1690"
"6120231210001","G000561001000110","2","禹门口省界-工业园匝道",,,"G000561001000210","1","工业园匝道-龙门匝道",,,"1690"
"6120231210001","G000561001000120","2","工业园匝道-禹门口省界",,,"G000514065001220","2","龙门大桥",,,"1690"
"6120231210001","G000561001000120","2","工业园匝道-禹门口省界",,,"G0005610010010","3","陕西禹门口收费站(省界)",,"61012865","1690"
"6120231210001","G000561001000210","1","工业园匝道-龙门匝道",,,"G000561001000310","1","龙门匝道-韩城匝道",,,"4130"
"6120231210001","G000561001000210","1","工业园匝道-龙门匝道",,,"G000561001001420","1","龙门-龙门站",,,"4130"
"6120231210001","G000561001000220","1","龙门匝道-工业园匝道",,,"G000561001001320","1","龙门工业园-龙门工业园站",,,"4130"
"6120231210001","G000561001000220","1","龙门匝道-工业园匝道",,,"G000561001000120","2","工业园匝道-禹门口省界",,,"4130"
"6120231210001","G000561001000310","1","龙门匝道-韩城匝道",,,"G000561001000410","1","韩城匝道-芝川匝道",,,"11200"
"6120231210001","G000561001000310","1","龙门匝道-韩城匝道",,,"G000561001001520","1","韩城-韩城站",,,"11200"
"6120231210001","G000561001000320","1","韩城匝道-龙门匝道",,,"G000561001000220","1","龙门匝道-工业园匝道",,,"11200"
"6120231210001","G000561001000320","1","韩城匝道-龙门匝道",,,"G000561001001420","1","龙门-龙门站",,,"11200"
"6120231210001","G000561001000410","1","韩城匝道-芝川匝道",,,"G000561001000510","1","芝川匝道-合阳东枢纽",,,"17780"
"6120231210001","G000561001000410","1","韩城匝道-芝川匝道",,,"G000561001001620","1","芝川-芝川站",,,"17780"
"6120231210001","G000561001000420","1","芝川匝道-韩城匝道",,,"G000561001001520","1","韩城-韩城站",,,"17780"
"6120231210001","G000561001000420","1","芝川匝道-韩城匝道",,,"G000561001000320","1","韩城匝道-龙门匝道",,,"17780"
"6120231210001","G000561001000510","1","芝川匝道-合阳东枢纽",,,"G000561001002310","1","合阳东枢纽-合阳匝道",,,"13570"
"6120231210001","G000561001000510","1","芝川匝道-合阳东枢纽",,,"G351161002000210","1","合阳东枢纽-同家庄匝道",,,"13570"
"6120231210001","G000561001000520","1","合阳东枢纽-芝川匝道",,,"G000561001000420","1","芝川匝道-韩城匝道",,,"13570"
"6120231210001","G000561001000520","1","合阳东枢纽-芝川匝道",,,"G000561001001620","1","芝川-芝川站",,,"13570"
"6120231210001","G000561001002410","1","韦庄匝道-永丰枢纽",,,"G000561001000710","1","永丰枢纽-孙镇匝道",,,"5964"
"6120231210001","G000561001000610","1","合阳匝道-韦庄匝道",,,"G000561001001820","1","韦庄-韦庄站",,,"33850"
"6120231210001","G000561001000620","1","韦庄匝道-合阳匝道",,,"G000561001002320","1","合阳匝道-合阳东枢纽",,,"33850"
"6120231210001","G000561001000620","1","韦庄匝道-合阳匝道",,,"G000561001001720","1","合阳-合阳站",,,"33850"
"6120231210001","G000561001000710","1","永丰枢纽-孙镇匝道",,,"G000561001000810","1","孙镇匝道-东杨互通",,,"11526"
"6120231210001","G000561001000710","1","永丰枢纽-孙镇匝道",,,"G000561001001920","1","孙镇-孙镇站",,,"11526"
"6120231210001","G000561001000720","1","孙镇匝道-永丰枢纽",,,"G000561001002420","1","永丰枢纽-韦庄匝道",,,"11526"
"6120231210001","G000561001000720","1","孙镇匝道-永丰枢纽",,,"S001361002000210","1","永丰枢纽-大荔互通",,,"11526"
